source,ticker,title,summary,publisher,type,link,published_utc,raw_id
yfinance,LULU,Can lululemon Halt Margin Erosion Amid Tariff-Driven Cost Hits?,"LULU faces tariff-driven margin pressure as the gross margin slumps. However, pricing, efficiency and supply-chain moves aim to blunt the hit into 2026.",Zacks,STORY,https://finance.yahoo.com/news/lululemon-halt-margin-erosion-amid-181300080.html,2025-12-24 18:13:00+00:00,2dbad12b-5395-3ee7-b817-315712ad780f
yfinance,LULU,"Lululemon Is a Good Fit for 2026: Limited Downside, Ample Upside","Lululemon's stock price is on track to rebound in 2026, potentially rising as much as 80% as the market buys into a CEO change and international growth.",MarketBeat,STORY,https://www.marketbeat.com/originals/lululemon-is-a-good-fit-for-2026-limited-downside-ample-upside/?utm_source=yahoofinance&utm_medium=yahoofinance,2025-12-24 15:29:00+00:00,c8aa2195-917d-3b04-9c7d-329ca64c9588
yfinance,LULU,Could Lululemon Be a Multimillionaire-Maker Stock?,"The athleisure apparel company was once a monster winner, but over the past couple of years, the stock has cratered.",Motley Fool,STORY,https://www.fool.com/investing/2025/12/24/could-lululemon-be-a-multimillionaire-maker-stock/,2025-12-24 07:28:00+00:00,fa4c4729-e5c3-34d3-9a32-8bb08ecbfe34
yfinance,LULU,"Got $1,000? 2 Stocks to Buy Now While They're On Sale",Two stocks trading 30% to 50% below their recent highs are interesting market opportunities.,Motley Fool,STORY,https://www.fool.com/investing/2025/12/23/got-1000-2-stocks-to-buy-now-while-theyre-on-sale/,2025-12-23 15:50:00+00:00,561a0c2e-1eb8-3441-887a-e67df5f3a8d9
yfinance,LULU,This Michael Burry Stock Spiked on a $1B Activist Stake. How Our Top Analyst Found the Trade Early.,"When Lululemon stock spiked on Elliott’s activist stake, John Rowland was already in position for a bull trade. Here’s how it took shape.",Barchart,STORY,https://www.barchart.com/story/news/36752744/this-michael-burry-stock-spiked-on-a-1b-activist-stake-how-our-top-analyst-found-the-trade-early,2025-12-22 23:15:02+00:00,ed8e4562-c627-3c33-91bb-beffdc7cbcb2
yfinance,LULU,Should You Buy the Bad News for This Michael Burry Stock Pick?,"As LULU stumbles under pressure, is Michael Burry’s contrarian bet a signal to look past the headwinds and snag LULU stock?",Barchart,STORY,https://www.barchart.com/story/news/36749382/should-you-buy-the-bad-news-for-this-michael-burry-stock-pick,2025-12-22 20:03:31+00:00,e69fcb2f-6c73-39ed-b9cf-2f04f8abd0bc
yfinance,LULU,Lululemon to enter 6 new markets in 2026,"The athletics retailer is expanding its international presence as it executes on a turnaround plan, which includes finding its next leader.",Retail Dive,STORY,https://www.retaildive.com/news/lululemon-enters-six-international-markets-greece-austria-india-2026/808480/,2025-12-22 11:39:00+00:00,607b6ac6-b07f-3158-9181-527d507a43e1
yfinance,LULU,What Does Lululemon Need: Discipline or Inspiration?,"Lululemon  is about to become the next case study.  Activist Elliott Investment Management is betting that it takes a leader with managerial chops.  It recently has taken a roughly $1 billion stake in Lululemon and is pushing for  Jane Nielsen,  a former Ralph Lauren chief financial and operating officer, to take the top job at the athletic apparel company.",The Wall Street Journal,STORY,https://www.wsj.com/business/retail/what-does-lululemon-need-discipline-or-inspiration-5009e8af?siteid=yhoof2&yptr=yahoo,2025-12-22 10:30:00+00:00,9d77fe64-bf6c-3ce9-88c6-c6d137d52707
yfinance,LULU,"Medline, Tesla, Warner and Micron: Stocks That Defined the Week","What did Micron’s earnings tell us about the AI boom? And what’s behind the corporate dramas at Warner Bros. Discovery and Lululemon? Plus, does Medline's IPO splash bode well for future offerings? 🎧 ...",The Wall Street Journal,STORY,https://www.wsj.com/livecoverage/stock-market-today-dow-sp-500-nasdaq-12-22-2025/card/medline-tesla-warner-and-micron-stocks-that-defined-the-week-LlinPWKobn5oS3QZPvKs?siteid=yhoof2&yptr=yahoo,2025-12-22 07:23:08+00:00,4d104ea8-3c81-3ee5-a479-455bec1974ea
yfinance,LULU,Is LULU Stock a Buy After the CEO Announced His Resignation?,CEO Calvin McDonald is stepping down in January. New leadership could help the stock rebound.,Motley Fool,STORY,https://www.fool.com/investing/2025/12/21/is-lulu-stock-a-buy-after-the-ceo-announced-his-re/,2025-12-21 22:38:00+00:00,84725261-8978-3a77-9e9f-231be0439c7f
yfinance,NKE,From Tesla To Nike: Why Tim Cook's Buy Is Drawing Market Parallels,"Market bottoms rarely arrive with reassurance. They show up when skepticism turns casual — when stocks stop being debated and start being dismissed. That's the backdrop against which Apple Inc‘s (NASDAQ:AAPL) CEO Tim Cook's purchase of Nike Inc (NYSE:NKE) shares is suddenly getting serious attention. Earlier this year, Tesla Inc (NASDAQ:TSLA) found its footing just as public commentary around the stock turned openly mocking, including a high-profile jab from Tim Walz. The remark didn't cause the",Benzinga,STORY,https://finance.yahoo.com/news/tesla-nike-why-tim-cooks-223152168.html,2025-12-26 22:31:52+00:00,353f79bb-28d4-3576-9604-ea027dbc1863
yfinance,NKE,"These Stocks Are Moving the Most Today: Nvidia, Apple, Tesla, Coupang, Micron, Lam Research, Newmont, Moderna, and More","Nvidia is rising after reaching an agreement with AI start-up Groq, while Lam Research stock is on track for a record high.",Barrons.com,STORY,https://www.barrons.com/articles/stock-movers-484d9230?siteid=yhoof2&yptr=yahoo,2025-12-26 19:14:00+00:00,099cdb70-42ad-33dd-8710-67e58926300c
yfinance,NKE,"I Continue to Believe Nike (NKE)’s CEO is a Winner, Says Jim Cramer","We recently published 10 Stocks on Jim Cramer’s Radar. NIKE, Inc. (NYSE:NKE) is one of the stocks on Jim Cramer’s radar. NIKE, Inc. (NYSE:NKE) is a stock that Jim Cramer frequently discusses. The firm reported its second fiscal quarter earnings on December 18th. The results saw NIKE, Inc. (NYSE:NKE)’s $12.43 billion in revenue and $0.53 […]",Insider Monkey,STORY,https://finance.yahoo.com/news/continue-believe-nike-nke-ceo-172530452.html,2025-12-26 17:25:30+00:00,3521219f-b614-39c3-bf7c-d576239c10c7
yfinance,NKE,"FedEx (FDX) CEO is Playing Offense, Says Jim Cramer","We recently published 10 Stocks on Jim Cramer’s Radar. FedEx Corporation (NYSE:FDX) is one of the stocks on Jim Cramer’s radar. FedEx Corporation (NYSE:FDX) is another key US firm in the middle of a turnaround. As is with the turnarounds of Nike and Starbucks, Cramer is also a believer in the firm. FedEx Corporation (NYSE:FDX) […]",Insider Monkey,STORY,https://finance.yahoo.com/news/fedex-fdx-ceo-playing-offense-172507621.html,2025-12-26 17:25:07+00:00,fd56221d-e8af-3194-8936-31f4dfc34eed
yfinance,NKE,Market Movers: Nvidia Could See $200 Before Year End,"After finding strong support at $170, Nvidia (NASDAQ: NVDA) continues to ramp higher. Last trading at $190 in premarket, NVDA is up on news that it agreed to pay $20 billion to acquire assets from Groq, an AI startup. From here, given the strength of the AI boom, we’d like to see NVDA closer to ... Market Movers: Nvidia Could See $200 Before Year End",24/7 Wall St.,STORY,https://247wallst.com/investing/2025/12/26/market-movers-nvidia-could-see-200-before-year-end/,2025-12-26 15:40:53+00:00,c3f8eea9-6fdb-31ae-b81a-ab73c4adeaa0
yfinance,NKE,Wholesale Strength vs. Digital Strain: Is NIKE's Channel Mix Working?,"NKE's wholesale rebound is lifting revenues, but digital sales are lagging as promotions fade and traffic softens, raising doubts about channel balance.",Zacks,STORY,https://finance.yahoo.com/news/wholesale-strength-vs-digital-strain-140500797.html,2025-12-26 14:05:00+00:00,53aed924-e311-3470-a3f1-75d1937a2c86
yfinance,NKE,5 Things to Know Before the Stock Market Opens,"News of the day for Dec. 26, 2025",Investopedia,STORY,https://www.investopedia.com/5-things-to-know-before-the-stock-market-opens-december-26-2025-11876264,2025-12-26 12:47:36+00:00,962ad5a0-b9c8-3d68-a3d1-e47ac7c29b6d
yfinance,NKE,S&P Futures Muted in Thin Post-Christmas Trade,"March S&P 500 E-Mini futures (ESH26) are trending down -0.03% this morning as trading resumed after the Christmas holiday, with activity subdued and volumes expected to remain light ahead of a shortened New Year’s week.",Barchart,STORY,https://www.barchart.com/story/news/36793673/s-p-futures-muted-in-thin-post-christmas-trade,2025-12-26 11:07:17+00:00,a668b9ea-fdc5-3755-906c-8d4ed60cb244
yfinance,NKE,Nike Stock Has Lost Value 4 Years Straight. Will 2026 Be Different?,"Nike investors have little to cheer about this holiday season, especially with the S&P 500 hovering around all-time highs.",Motley Fool,STORY,https://www.fool.com/investing/2025/12/26/nike-stock-buy-turnaround-dividend-value-2026/,2025-12-26 09:45:00+00:00,9e965e9b-66c4-3506-8ad3-a72e94a355ab
yfinance,NKE,"Company News for Dec 26, 2025","Companies In The News Are: NVDA, NKE, AAPL, DVAX, SNY, INTC.",Zacks,STORY,https://finance.yahoo.com/news/company-news-dec-26-2025-080800912.html,2025-12-26 08:08:00+00:00,50ac1522-6300-3231-8dff-9591348fc5f6
